country_slug,country_name,subdivision_type,subdivision_slug,subdivision_name,native_name,aliases,subdivision_wikidata_id,subdivision_wikipedia_url,capital_name,capital_wikidata_id,capital_wikipedia_url,borders_subdivisions,borders_countries,borders_waters,connections,locator_svg_path,base_svg_path,notes
turkey,Turkey,geographical region,aegean-region,Aegean Region,Ege Bölgesi,,Q155564,https://en.wikipedia.org/wiki/Aegean_region,,,,Central Anatolia Region | Marmara Region | Mediterranean Region,,Aegean Sea,"Borders peer subdivisions: Central Anatolia Region, Marmara Region, Mediterranean Region; Waters: Aegean Sea",maps/locators/turkey/aegean-region.svg,maps/base/turkey/turkey-regions.svg,Turkey's seven geographical regions do not have official capitals; capital fields are left blank.
turkey,Turkey,geographical region,black-sea-region,Black Sea Region,Karadeniz Bölgesi,,Q155533,https://en.wikipedia.org/wiki/Black_Sea_region,,,,Central Anatolia Region | Eastern Anatolia Region | Marmara Region,Georgia,Black Sea,"Borders peer subdivisions: Central Anatolia Region, Eastern Anatolia Region, Marmara Region; Countries: Georgia; Waters: Black Sea",maps/locators/turkey/black-sea-region.svg,maps/base/turkey/turkey-regions.svg,Turkey's seven geographical regions do not have official capitals; capital fields are left blank.
turkey,Turkey,geographical region,central-anatolia-region,Central Anatolia Region,İç Anadolu Bölgesi,,Q155526,https://en.wikipedia.org/wiki/Central_Anatolia_region,,,,Aegean Region | Black Sea Region | Eastern Anatolia Region | Marmara Region | Mediterranean Region,,,"Borders peer subdivisions: Aegean Region, Black Sea Region, Eastern Anatolia Region, Marmara Region, Mediterranean Region",maps/locators/turkey/central-anatolia-region.svg,maps/base/turkey/turkey-regions.svg,Turkey's seven geographical regions do not have official capitals; capital fields are left blank.
turkey,Turkey,geographical region,eastern-anatolia-region,Eastern Anatolia Region,Doğu Anadolu Bölgesi,,Q155542,https://en.wikipedia.org/wiki/Eastern_Anatolia_region,,,,Black Sea Region | Central Anatolia Region | Mediterranean Region | Southeastern Anatolia Region,Armenia | Azerbaijan | Georgia | Iran | Iraq,,"Borders peer subdivisions: Black Sea Region, Central Anatolia Region, Mediterranean Region, Southeastern Anatolia Region; Countries: Armenia, Azerbaijan, Georgia, Iran, Iraq",maps/locators/turkey/eastern-anatolia-region.svg,maps/base/turkey/turkey-regions.svg,Turkey's seven geographical regions do not have official capitals; capital fields are left blank.
turkey,Turkey,geographical region,marmara-region,Marmara Region,Marmara Bölgesi,,Q155583,https://en.wikipedia.org/wiki/Marmara_region,,,,Aegean Region | Black Sea Region | Central Anatolia Region,Bulgaria | Greece,Aegean Sea | Black Sea | Sea of Marmara,"Borders peer subdivisions: Aegean Region, Black Sea Region, Central Anatolia Region; Countries: Bulgaria, Greece; Waters: Aegean Sea, Black Sea, Sea of Marmara",maps/locators/turkey/marmara-region.svg,maps/base/turkey/turkey-regions.svg,Turkey's seven geographical regions do not have official capitals; capital fields are left blank.
turkey,Turkey,geographical region,mediterranean-region,Mediterranean Region,Akdeniz Bölgesi,,Q155552,https://en.wikipedia.org/wiki/Mediterranean_region%2C_Turkey,,,,Aegean Region | Central Anatolia Region | Eastern Anatolia Region | Southeastern Anatolia Region,Syria,Mediterranean Sea,"Borders peer subdivisions: Aegean Region, Central Anatolia Region, Eastern Anatolia Region, Southeastern Anatolia Region; Countries: Syria; Waters: Mediterranean Sea",maps/locators/turkey/mediterranean-region.svg,maps/base/turkey/turkey-regions.svg,Turkey's seven geographical regions do not have official capitals; capital fields are left blank.
turkey,Turkey,geographical region,southeastern-anatolia-region,Southeastern Anatolia Region,Güneydoğu Anadolu Bölgesi,,Q155638,https://en.wikipedia.org/wiki/Southeastern_Anatolia_region,,,,Eastern Anatolia Region | Mediterranean Region,Iraq | Syria,,"Borders peer subdivisions: Eastern Anatolia Region, Mediterranean Region; Countries: Iraq, Syria",maps/locators/turkey/southeastern-anatolia-region.svg,maps/base/turkey/turkey-regions.svg,Turkey's seven geographical regions do not have official capitals; capital fields are left blank.
