country_slug,country_name,subdivision_type,subdivision_slug,subdivision_name,subdivision_wikidata_id,subdivision_wikipedia_url,capital_name,capital_wikidata_id,capital_wikipedia_url,borders_subdivisions,borders_countries,borders_waters,connections,locator_svg_path,base_svg_path,notes
iran,Iran,province,khuzestan,Khuzestan,Q241119,https://en.wikipedia.org/wiki/Khuzestan_province,Ahvaz,Q170366,https://en.wikipedia.org/wiki/Ahvaz,Bushehr | Chaharmahal and Bakhtiari | Ilam | Kohgiluyeh and Boyer-Ahmad | Lorestan,Iraq,Persian Gulf,"Borders peer subdivisions: Bushehr, Chaharmahal and Bakhtiari, Ilam, Kohgiluyeh and Boyer-Ahmad, Lorestan; Countries: Iraq; Waters: Persian Gulf",maps/locators/iran/khuzestan.svg,maps/base/iran/iran-provinces.svg,
iran,Iran,province,kohgiluyeh-and-boyer-ahmad,Kohgiluyeh and Boyer-Ahmad,Q180068,https://en.wikipedia.org/wiki/Kohgiluyeh_and_Boyer-Ahmad_province,Yasuj,Q383129,https://en.wikipedia.org/wiki/Yasuj,Bushehr | Chaharmahal and Bakhtiari | Fars | Isfahan | Khuzestan,,,"Borders peer subdivisions: Bushehr, Chaharmahal and Bakhtiari, Fars, Isfahan, Khuzestan",maps/locators/iran/kohgiluyeh-and-boyer-ahmad.svg,maps/base/iran/iran-provinces.svg,
iran,Iran,province,kurdistan,Kurdistan,Q134386,https://en.wikipedia.org/wiki/Kurdistan_province,Sanandaj,Q272093,https://en.wikipedia.org/wiki/Sanandaj,Hamadan | Kermanshah | West Azarbaijan | Zanjan,Iraq,,"Borders peer subdivisions: Hamadan, Kermanshah, West Azarbaijan, Zanjan; Countries: Iraq",maps/locators/iran/kurdistan.svg,maps/base/iran/iran-provinces.svg,
iran,Iran,province,lorestan,Lorestan,Q1131727,https://en.wikipedia.org/wiki/Lorestan_province,Khorramabad,Q502212,https://en.wikipedia.org/wiki/Khorramabad,Chaharmahal and Bakhtiari | Hamadan | Ilam | Isfahan | Kermanshah | Khuzestan | Markazi,,,"Borders peer subdivisions: Chaharmahal and Bakhtiari, Hamadan, Ilam, Isfahan, Kermanshah, Khuzestan, Markazi",maps/locators/iran/lorestan.svg,maps/base/iran/iran-provinces.svg,
iran,Iran,province,markazi,Markazi,Q134417,https://en.wikipedia.org/wiki/Markazi_province,Arak,Q212628,https://en.wikipedia.org/wiki/Arak%2C_Iran,Alborz | Hamadan | Isfahan | Lorestan | Qazvin | Qom | Tehran,,,"Borders peer subdivisions: Alborz, Hamadan, Isfahan, Lorestan, Qazvin, Qom, Tehran",maps/locators/iran/markazi.svg,maps/base/iran/iran-provinces.svg,
iran,Iran,province,mazandaran,Mazandaran,Q308864,https://en.wikipedia.org/wiki/Mazandaran_province,Sari,Q168843,https://en.wikipedia.org/wiki/Sari%2C_Iran,Alborz | Gilan | Golestan | Qazvin | Semnan | Tehran,,Caspian Sea,"Borders peer subdivisions: Alborz, Gilan, Golestan, Qazvin, Semnan, Tehran; Waters: Caspian Sea",maps/locators/iran/mazandaran.svg,maps/base/iran/iran-provinces.svg,
iran,Iran,province,north-khorasan,North Khorasan,Q180075,https://en.wikipedia.org/wiki/North_Khorasan_province,Bojnord,Q317946,https://en.wikipedia.org/wiki/Bojnord,Golestan | Razavi Khorasan | Semnan,Turkmenistan,,"Borders peer subdivisions: Golestan, Razavi Khorasan, Semnan; Countries: Turkmenistan",maps/locators/iran/north-khorasan.svg,maps/base/iran/iran-provinces.svg,
iran,Iran,province,qazvin,Qazvin,Q1105893,https://en.wikipedia.org/wiki/Qazvin_province,Qazvin,Q181578,https://en.wikipedia.org/wiki/Qazvin,Alborz | Gilan | Hamadan | Markazi | Mazandaran | Zanjan,,,"Borders peer subdivisions: Alborz, Gilan, Hamadan, Markazi, Mazandaran, Zanjan",maps/locators/iran/qazvin.svg,maps/base/iran/iran-provinces.svg,
iran,Iran,province,qom,Qom,Q131664,https://en.wikipedia.org/wiki/Qom_province,Qom,Q170573,https://en.wikipedia.org/wiki/Qom,Isfahan | Markazi | Semnan | Tehran,,,"Borders peer subdivisions: Isfahan, Markazi, Semnan, Tehran",maps/locators/iran/qom.svg,maps/base/iran/iran-provinces.svg,
iran,Iran,province,razavi-khorasan,Razavi Khorasan,Q587090,https://en.wikipedia.org/wiki/Razavi_Khorasan_province,Mashhad,Q121157,https://en.wikipedia.org/wiki/Mashhad,North Khorasan,Afghanistan,,Borders peer subdivisions: North Khorasan; Countries: Afghanistan,maps/locators/iran/razavi-khorasan.svg,maps/base/iran/iran-provinces.svg,
iran,Iran,province,semnan,Semnan,Q168949,https://en.wikipedia.org/wiki/Semnan_province,Semnan,Q203045,https://en.wikipedia.org/wiki/Semnan%2C_Iran,Golestan | Isfahan | Mazandaran | North Khorasan | Qom | Razavi Khorasan | South Khorasan | Tehran,,,"Borders peer subdivisions: Golestan, Isfahan, Mazandaran, North Khorasan, Qom, Razavi Khorasan, South Khorasan, Tehran",maps/locators/iran/semnan.svg,maps/base/iran/iran-provinces.svg,
iran,Iran,province,sistan-and-baluchistan,Sistan and Baluchestan,Q939575,https://en.wikipedia.org/wiki/Sistan_and_Baluchestan_province,Zahedan,Q140561,https://en.wikipedia.org/wiki/Zahedan,Hormozgan | Kerman | South Khorasan,Afghanistan | Pakistan,Gulf of Oman,"Borders peer subdivisions: Hormozgan, Kerman, South Khorasan; Countries: Afghanistan, Pakistan; Waters: Gulf of Oman",maps/locators/iran/sistan-and-baluchistan.svg,maps/base/iran/iran-provinces.svg,
iran,Iran,province,south-khorasan,South Khorasan,Q171551,https://en.wikipedia.org/wiki/South_Khorasan_province,Birjand,Q193806,https://en.wikipedia.org/wiki/Birjand,Isfahan | Kerman | Razavi Khorasan | Semnan | Sistan and Baluchestan | Yazd,Afghanistan,,"Borders peer subdivisions: Isfahan, Kerman, Razavi Khorasan, Semnan, Sistan and Baluchestan, Yazd; Countries: Afghanistan",maps/locators/iran/south-khorasan.svg,maps/base/iran/iran-provinces.svg,
iran,Iran,province,tehran,Tehran,Q590866,https://en.wikipedia.org/wiki/Tehran_province,Tehran,Q3616,https://en.wikipedia.org/wiki/Tehran,Alborz | Markazi | Mazandaran | Qom | Semnan,,,"Borders peer subdivisions: Alborz, Markazi, Mazandaran, Qom, Semnan",maps/locators/iran/tehran.svg,maps/base/iran/iran-provinces.svg,
iran,Iran,province,west-azerbaijan,West Azarbaijan,Q134411,https://en.wikipedia.org/wiki/West_Azerbaijan_province,Urmia,Q179665,https://en.wikipedia.org/wiki/Urmia,East Azarbaijan | Kurdistan | Zanjan,Azerbaijan | Iraq | Turkey,,"Borders peer subdivisions: East Azarbaijan, Kurdistan, Zanjan; Countries: Azerbaijan, Iraq, Turkey",maps/locators/iran/west-azerbaijan.svg,maps/base/iran/iran-provinces.svg,
