country_slug,country_name,subdivision_type,subdivision_slug,subdivision_name,subdivision_wikidata_id,subdivision_wikipedia_url,capital_name,capital_wikidata_id,capital_wikipedia_url,borders_subdivisions,borders_countries,borders_waters,connections,locator_svg_path,base_svg_path,notes
south-africa,South Africa,province,eastern-cape,Eastern Cape,Q130840,https://en.wikipedia.org/wiki/Eastern_Cape,Bhisho,Q209533,https://en.wikipedia.org/wiki/Bhisho,Free State | KwaZulu-Natal | Northern Cape | Western Cape,Lesotho,,"Borders peer subdivisions: Free State, KwaZulu-Natal, Northern Cape, Western Cape; Countries: Lesotho",maps/locators/south-africa/eastern-cape.svg,maps/base/south-africa/south-africa-provinces.svg,
south-africa,South Africa,province,free-state,Free State,Q160284,https://en.wikipedia.org/wiki/Free_State_%28province%29,Bloemfontein,Q37701,https://en.wikipedia.org/wiki/Bloemfontein,Eastern Cape | Gauteng | KwaZulu-Natal | Mpumalanga | North West | Northern Cape,Lesotho,,"Borders peer subdivisions: Eastern Cape, Gauteng, KwaZulu-Natal, Mpumalanga, North West, Northern Cape; Countries: Lesotho",maps/locators/south-africa/free-state.svg,maps/base/south-africa/south-africa-provinces.svg,
south-africa,South Africa,province,gauteng,Gauteng,Q133083,https://en.wikipedia.org/wiki/Gauteng,Johannesburg,Q34647,https://en.wikipedia.org/wiki/Johannesburg,Free State | Limpopo | Mpumalanga | North West,,,"Borders peer subdivisions: Free State, Limpopo, Mpumalanga, North West",maps/locators/south-africa/gauteng.svg,maps/base/south-africa/south-africa-provinces.svg,
south-africa,South Africa,province,kwazulu-natal,KwaZulu-Natal,Q81725,https://en.wikipedia.org/wiki/KwaZulu-Natal,Pietermaritzburg,Q185591,https://en.wikipedia.org/wiki/Pietermaritzburg,Eastern Cape | Free State | Mpumalanga,Eswatini | Lesotho | Mozambique,,"Borders peer subdivisions: Eastern Cape, Free State, Mpumalanga; Countries: Eswatini, Lesotho, Mozambique",maps/locators/south-africa/kwazulu-natal.svg,maps/base/south-africa/south-africa-provinces.svg,
south-africa,South Africa,province,limpopo,Limpopo,Q134907,https://en.wikipedia.org/wiki/Limpopo,Polokwane,Q131662,https://en.wikipedia.org/wiki/Polokwane,Gauteng | Mpumalanga | North West,Botswana | Mozambique | Zimbabwe,,"Borders peer subdivisions: Gauteng, Mpumalanga, North West; Countries: Botswana, Mozambique, Zimbabwe",maps/locators/south-africa/limpopo.svg,maps/base/south-africa/south-africa-provinces.svg,
south-africa,South Africa,province,mpumalanga,Mpumalanga,Q132410,https://en.wikipedia.org/wiki/Mpumalanga,Mbombela,Q170313,https://en.wikipedia.org/wiki/Mbombela,Free State | Gauteng | KwaZulu-Natal | Limpopo,Eswatini | Mozambique,,"Borders peer subdivisions: Free State, Gauteng, KwaZulu-Natal, Limpopo; Countries: Eswatini, Mozambique",maps/locators/south-africa/mpumalanga.svg,maps/base/south-africa/south-africa-provinces.svg,
south-africa,South Africa,province,north-west,North West,Q165956,https://en.wikipedia.org/wiki/North_West_%28South_African_province%29,Mahikeng,Q211055,https://en.wikipedia.org/wiki/Mafikeng,Free State | Gauteng | Limpopo | Northern Cape,Botswana,,"Borders peer subdivisions: Free State, Gauteng, Limpopo, Northern Cape; Countries: Botswana",maps/locators/south-africa/north-west.svg,maps/base/south-africa/south-africa-provinces.svg,
south-africa,South Africa,province,northern-cape,Northern Cape,Q132418,https://en.wikipedia.org/wiki/Northern_Cape,Kimberley,Q125905,https://en.wikipedia.org/wiki/Kimberley%2C_South_Africa,Eastern Cape | Free State | North West | Western Cape,Botswana | Namibia,,"Borders peer subdivisions: Eastern Cape, Free State, North West, Western Cape; Countries: Botswana, Namibia",maps/locators/south-africa/northern-cape.svg,maps/base/south-africa/south-africa-provinces.svg,
south-africa,South Africa,province,western-cape,Western Cape,Q127167,https://en.wikipedia.org/wiki/Western_Cape,Cape Town,Q5465,https://en.wikipedia.org/wiki/Cape_Town,Eastern Cape | Northern Cape,,,"Borders peer subdivisions: Eastern Cape, Northern Cape",maps/locators/south-africa/western-cape.svg,maps/base/south-africa/south-africa-provinces.svg,
